name,longitude,latitude
World Trade Centre Metro Station,55.285061,25.224829
Emirates Towers Metro Station,55.279821,25.217214
Financial Centre Metro Station,55.275587,25.21103
Burj Khalifa/ Dubai Mall Metro Station,55.269518,25.201401
Business Bay Metro Station,55.260419,25.191275
Noor Bank Metro Station,55.228509,25.155727
FGB Metro Station,55.207898,25.126721
Mall of the Emirates Metro Station,55.200443,25.121231
Sharaf DG Metro Station,55.190931,25.114809
Dubai Internet City  Metro Station,55.173781,25.102095
Nakheel Metro Station,55.158026,25.088917
DAMAC Properties Metro Station,55.147523,25.079929
Jumeirah Lakes Towers Metro Station,55.138673,25.070824
Nakheel Harbour & Tower Metro Station,55.127173,25.057853
Ibn Battuta Metro Station,55.117528,25.046726
Energy  Metro Station,55.101247,25.026291
Danube Metro Station,55.095698,25.001291
UAE Exchange Metro Station,55.091041,24.977524
Etisalat Metro Station,55.401007,25.254805
Al Qusais  Metro Station,55.387476,25.262659
Dubai Airport Free Zone Metro Station,55.375009,25.269929
Al Nahda Metro Station,55.369341,25.273274
Stadium Metro Station,55.36158,25.277802
Al Qiyadah Metro Station,55.352765,25.277667
Abu Hail Metro Station,55.346268,25.275242
Abu Baker Al Siddique Metro Station,55.332983,25.270904
Salah Al Din Metro Station,55.320669,25.270345
Union  (Green Line ) Metro Station,55.313903,25.266336
Baniyas Square Metro Station,55.307602,25.269416
Palm Deira Metro Station,55.301778,25.276196
Al Ras Metro Station,55.293728,25.268862
Al Ghubaiba Metro Station,55.288954,25.265085
Al Fahidi  Metro Station,55.297559,25.258301
BurJuman Metro Station,55.304253,25.254856
Oud Metha Metro Station,55.315957,25.243667
Dubai Healthcare City Metro Station,55.322867,25.230903
Al Jadaf Metro Station,55.333674,25.224978
Creek Metro Station,55.338953,25.218949
Rashidya Depot,55.401054,25.229889
Rashidiya Metro Station,55.391198,25.230223
Emirates Metro Station,55.365727,25.241059
Airport Terminal 3 Metro Station,55.359526,25.245013
Airport Terminal 1 Metro Station,55.352474,25.248428
GGICO  Metro Station,55.340034,25.249497
Deira City Centre Metro Station,55.330077,25.254304
Al Rigga Metro Station,55.324123,25.263261
Union  Metro Station,55.313903,25.266336
BurJuman Metro Station,55.304253,25.254856
ADCB Metro Station,55.298196,25.244494
Al Jafiliya Metro Station,55.292132,25.233497
